# ASASSN-15lh-SALT-new-mjd57209.99.photflux.dat writespec.pro: Thu Jul  9 12:59:17 2015
# flux matched to 57203 spectrum
#
       3431.2397   2.3430966e-15
       3431.4880   2.3378776e-15
       3431.7362   2.3034666e-15
       3431.9845   2.4196365e-15
       3432.2328   2.5342169e-15
       3432.4810   2.4507017e-15
       3432.7293   2.2949343e-15
       3432.9776   2.3427473e-15
       3433.2258   2.5036511e-15
       3433.4741   2.4704874e-15
       3433.7224   2.4115758e-15
       3433.9706   2.3975509e-15
       3434.2189   2.4071751e-15
       3434.4672   2.4767835e-15
       3434.7154   2.4256346e-15
       3434.9637   2.4705233e-15
       3435.2119   2.4835907e-15
       3435.4602   2.4467356e-15
       3435.7085   2.4039562e-15
       3435.9567   2.4052968e-15
       3436.2050   2.4236881e-15
       3436.4533   2.4391873e-15
       3436.7015   2.4390480e-15
       3436.9498   2.3788052e-15
       3437.1981   2.4094554e-15
       3437.4463   2.5003152e-15
       3437.6946   2.5008266e-15
       3437.9429   2.4028149e-15
       3438.1911   2.2649652e-15
       3438.4394   2.3103953e-15
       3438.6877   2.4467729e-15
       3438.9359   2.4323791e-15
       3439.1842   2.4342731e-15
       3439.4324   2.4960189e-15
       3439.6807   2.3861591e-15
       3439.9290   2.2473301e-15
       3440.1772   2.2422353e-15
       3440.4255   2.2998460e-15
       3440.6738   2.3705798e-15
       3440.9220   2.3325424e-15
       3441.1703   2.3308412e-15
       3441.4186   2.4003757e-15
       3441.6668   2.4009033e-15
       3441.9151   2.4026095e-15
       3442.1634   2.4392786e-15
       3442.4116   2.4386916e-15
       3442.6599   2.4250125e-15
       3442.9081   2.3841436e-15
       3443.1564   2.2499765e-15
       3443.4047   2.2978130e-15
       3443.6529   2.4111671e-15
       3443.9012   2.3976375e-15
       3444.1495   2.3185457e-15
       3444.3977   2.2153369e-15
       3444.6460   2.1037223e-15
       3444.8943   1.8813003e-15
       3445.1425   1.6631533e-15
       3445.3908   1.6395641e-15
       3445.6391   1.6212882e-15
       3445.8873   1.6500107e-15
       3446.1356   1.7489178e-15
       3446.3838   1.8412356e-15
       3446.6321   1.9522132e-15
       3446.8804   2.0982220e-15
       3447.1286   2.2493649e-15
       3447.3769   2.2681478e-15
       3447.6252   2.2874866e-15
       3447.8734   2.3606684e-15
       3448.1217   2.3349414e-15
       3448.3700   2.2900091e-15
       3448.6182   2.3415309e-15
       3448.8665   2.3641204e-15
       3449.1148   2.3179416e-15
       3449.3630   2.4056665e-15
       3449.6113   2.4594660e-15
       3449.8595   2.2779815e-15
       3450.1078   2.4060258e-15
       3450.3561   2.4825980e-15
       3450.6043   2.3943944e-15
       3450.8526   2.4672278e-15
       3451.1009   2.4234223e-15
       3451.3491   2.2562865e-15
       3451.5974   2.2449818e-15
       3451.8457   2.3577549e-15
       3452.0939   2.4503823e-15
       3452.3422   2.4693062e-15
       3452.5905   2.4595216e-15
       3452.8387   2.4010008e-15
       3453.0870   2.2482153e-15
       3453.3352   2.2145586e-15
       3453.5835   2.1290278e-15
       3453.8318   1.9116368e-15
       3454.0800   1.7924266e-15
       3454.3283   1.7161036e-15
       3454.5766   1.7730218e-15
       3454.8248   1.8173326e-15
       3455.0731   1.8666578e-15
       3455.3214   2.0815468e-15
       3455.5696   2.2431829e-15
       3455.8179   2.3041158e-15
       3456.0662   2.3349243e-15
       3456.3144   2.3588502e-15
       3456.5627   2.3878591e-15
       3456.8110   2.2523989e-15
       3457.0592   2.2434939e-15
       3457.3075   2.2877154e-15
       3457.5557   2.2776883e-15
       3457.8040   2.3182646e-15
       3458.0523   2.3638374e-15
       3458.3005   2.3162901e-15
       3458.5488   2.2407920e-15
       3458.7971   2.3298761e-15
       3459.0453   2.3878411e-15
       3459.2936   2.3534456e-15
       3459.5419   2.2534627e-15
       3459.7901   2.2439561e-15
       3460.0384   2.3331862e-15
       3460.2867   2.3334317e-15
       3460.5349   2.3384488e-15
       3460.7832   2.2302520e-15
       3461.0314   2.2478973e-15
       3461.2797   2.3320864e-15
       3461.5280   2.3728351e-15
       3461.7762   2.3896037e-15
       3462.0245   2.3237112e-15
       3462.2728   2.2498307e-15
       3462.5210   2.1982583e-15
       3462.7693   2.2642913e-15
       3463.0176   2.2713275e-15
       3463.2658   2.3275157e-15
       3463.5141   2.3731374e-15
       3463.7624   2.2819343e-15
       3464.0106   2.2750404e-15
       3464.2589   2.3384974e-15
       3464.5071   2.3565598e-15
       3464.7554   2.4811648e-15
       3465.0037   2.4315687e-15
       3465.2519   2.3498190e-15
       3465.5002   2.3763418e-15
       3465.7485   2.4351784e-15
       3465.9967   2.3890237e-15
       3466.2450   2.3417709e-15
       3466.4933   2.3130283e-15
       3466.7415   2.2614371e-15
       3466.9898   2.2514297e-15
       3467.2381   2.3990370e-15
       3467.4863   2.4518792e-15
       3467.7346   2.3591550e-15
       3467.9828   2.3193331e-15
       3468.2311   2.3667865e-15
       3468.4794   2.3227604e-15
       3468.7276   2.1610613e-15
       3468.9759   2.2321899e-15
       3469.2242   2.2766874e-15
       3469.4724   2.1407313e-15
       3469.7207   2.2003868e-15
       3469.9690   2.4000356e-15
       3470.2172   2.4218146e-15
       3470.4655   2.3159863e-15
       3470.7138   2.3030290e-15
       3470.9620   2.3087642e-15
       3471.2103   2.3715428e-15
       3471.4586   2.4122746e-15
       3471.7068   2.3186163e-15
       3471.9551   2.2623357e-15
       3472.2033   2.2908159e-15
       3472.4516   2.3320571e-15
       3472.6999   2.3768294e-15
       3472.9481   2.2913797e-15
       3473.1964   2.3254590e-15
       3473.4447   2.3664120e-15
       3473.6929   2.3637831e-15
       3473.9412   2.3076775e-15
       3474.1895   2.2570367e-15
       3474.4377   2.1993513e-15
       3474.6860   2.2141362e-15
       3474.9343   2.2508061e-15
       3475.1825   2.2778570e-15
       3475.4308   2.2055459e-15
       3475.6790   2.3335941e-15
       3475.9273   2.3961787e-15
       3476.1756   2.2805956e-15
       3476.4238   2.3596749e-15
       3476.6721   2.4657044e-15
       3476.9204   2.3951523e-15
       3477.1686   2.3692386e-15
       3477.4169   2.2933232e-15
       3477.6652   2.2980652e-15
       3477.9134   2.3197230e-15
       3478.1617   2.2990930e-15
       3478.4100   2.3161896e-15
       3478.6582   2.3085069e-15
       3478.9065   2.2496207e-15
       3479.1547   2.2375034e-15
       3479.4030   2.3270184e-15
       3479.6513   2.3532824e-15
       3479.8995   2.2806979e-15
       3480.1478   2.3098861e-15
       3480.3961   2.3626527e-15
       3480.6443   2.2998296e-15
       3480.8926   2.3683541e-15
       3481.1409   2.3512470e-15
       3481.3891   2.2588599e-15
       3481.6374   2.2820248e-15
       3481.8857   2.3246891e-15
       3482.1339   2.3625251e-15
       3482.3822   2.4133822e-15
       3482.6304   2.4206963e-15
       3482.8787   2.3575414e-15
       3483.1270   2.2590293e-15
       3483.3752   2.1908037e-15
       3483.6235   2.2396290e-15
       3483.8718   2.3390202e-15
       3484.1200   2.3237757e-15
       3484.3683   2.2679580e-15
       3484.6166   2.2003640e-15
       3484.8648   2.2049763e-15
       3485.1131   2.2294605e-15
       3485.3614   2.2164678e-15
       3485.6096   2.3086798e-15
       3485.8579   2.3625146e-15
       3486.1062   2.3224697e-15
       3486.3544   2.2850037e-15
       3486.6027   2.2525335e-15
       3486.8509   2.2368289e-15
       3487.0992   2.1756177e-15
       3487.3475   2.1526571e-15
       3487.5957   2.1828724e-15
       3487.8440   2.2588772e-15
       3488.0923   2.3592152e-15
       3488.3405   2.2997679e-15
       3488.5888   2.2072717e-15
       3488.8371   2.2347988e-15
       3489.0853   2.2723022e-15
       3489.3336   2.3068456e-15
       3489.5819   2.3460867e-15
       3489.8301   2.3083516e-15
       3490.0784   2.2703271e-15
       3490.3266   2.2971366e-15
       3490.5749   2.2976408e-15
       3490.8232   2.1773583e-15
       3491.0714   2.1012608e-15
       3491.3197   2.1844884e-15
       3491.5680   2.2087004e-15
       3491.8162   2.1848164e-15
       3492.0645   2.1998325e-15
       3492.3128   2.2563612e-15
       3492.5610   2.3686368e-15
       3492.8093   2.3951854e-15
       3493.0576   2.3569603e-15
       3493.3058   2.3776316e-15
       3493.5541   2.3878577e-15
       3493.8023   2.2859591e-15
       3494.0506   2.2651497e-15
       3494.2989   2.2904806e-15
       3494.5471   2.2875765e-15
       3494.7954   2.4073503e-15
       3495.0437   2.3811790e-15
       3495.2919   2.3008658e-15
       3495.5402   2.2979455e-15
       3495.7885   2.2542571e-15
       3496.0367   2.1993036e-15
       3496.2850   2.2355077e-15
       3496.5333   2.3014950e-15
       3496.7815   2.3267372e-15
       3497.0298   2.3242726e-15
       3497.2780   2.2240045e-15
       3497.5263   2.2044002e-15
       3497.7746   2.3021819e-15
       3498.0228   2.3362056e-15
       3498.2711   2.3060058e-15
       3498.5194   2.2522717e-15
       3498.7676   2.1582216e-15
       3499.0159   2.2230657e-15
       3499.2642   2.3366365e-15
       3499.5124   2.2452014e-15
       3499.7607   2.2480088e-15
       3500.0090   2.2556653e-15
       3500.2572   2.2416559e-15
       3500.5055   2.2560252e-15
       3500.7538   2.2647915e-15
       3501.0020   2.2618999e-15
       3501.2503   2.2745563e-15
       3501.4985   2.2497750e-15
       3501.7468   2.1648392e-15
       3501.9951   2.1866780e-15
       3502.2433   2.2569021e-15
       3502.4916   2.1183721e-15
       3502.7399   2.1308978e-15
       3502.9881   2.2592428e-15
       3503.2364   2.2439656e-15
       3503.4847   2.2098320e-15
       3503.7329   2.2191129e-15
       3503.9812   2.1636332e-15
       3504.2295   2.1363729e-15
       3504.4777   2.3635751e-15
       3504.7260   2.3843668e-15
       3504.9742   2.2350378e-15
       3505.2225   2.2326701e-15
       3505.4708   2.2223960e-15
       3505.7190   2.2365384e-15
       3505.9673   2.2264057e-15
       3506.2156   2.1907772e-15
       3506.4638   2.1715759e-15
       3506.7121   2.2661427e-15
       3506.9604   2.3209703e-15
       3507.2086   2.2274320e-15
       3507.4569   2.1926013e-15
       3507.7052   2.1680110e-15
       3507.9534   2.2193822e-15
       3508.2017   2.2850422e-15
       3508.4499   2.2818421e-15
       3508.6982   2.2697024e-15
       3508.9465   2.2586314e-15
       3509.1947   2.2831268e-15
       3509.4430   2.2491124e-15
       3509.6913   2.2087379e-15
       3509.9395   2.1856393e-15
       3510.1878   2.1393641e-15
