BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1001  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
6383.22650265689  1.116355E-18
6386.78419017788  9.558866E-19
6390.34187769885  8.891896E-19
6393.89956521984  9.991533E-19
6397.45725274082  4.553243E-19
6401.0149402618  1.119139E-18
6404.57262778278  8.314591E-19
6408.13031530376  9.626325E-19
6411.68800282474  1.026172E-18
6415.24569034572  1.095829E-18
6418.8033778667  1.104788E-18
6422.36106538768  9.085040E-19
6425.91875290866  1.029473E-18
6429.47644042965  9.220642E-19
6433.03412795063  1.040102E-18
6436.59181547161  1.232854E-18
6440.14950299259  8.795710E-19
6443.70719051357  1.137079E-18
6447.26487803455  1.166745E-18
6450.82256555553  1.079409E-18
6454.38025307651  1.158175E-18
6457.93794059749  8.158336E-19
6461.49562811847  9.545974E-19
6465.05331563945  8.456057E-19
6468.61100316043  9.645800E-19
6472.16869068141  1.252307E-18
6475.72637820239  1.327709E-18
6479.28406572338  9.873404E-19
6482.84175324436  8.274333E-19
6486.39944076534  1.047054E-18
6489.95712828632  1.001890E-18
6493.5148158073  8.807318E-19
6497.07250332828  9.196450E-19
6500.63019084926  9.332668E-19
6504.18787837024  8.874649E-19
6507.74556589122  1.019738E-18
6511.3032534122  9.726430E-19
6514.86094093319  1.227845E-18
6518.41862845416  1.043189E-18
6521.97631597515  9.428447E-19
6525.53400349613  1.105557E-18
6529.09169101711  9.941728E-19
6532.64937853809  1.014200E-18
6536.20706605907  1.153258E-18
6539.76475358005  1.165390E-18
6543.32244110103  1.029343E-18
6546.88012862201  1.100755E-18
6550.43781614299  1.029053E-18
6553.99550366397  9.892947E-19
6557.55319118495  1.156366E-18
6561.11087870593  1.210886E-18
6564.66856622692  1.027519E-18
6568.2262537479  1.049860E-18
6571.78394126887  8.663512E-19
6575.34162878986  1.025201E-18
6578.89931631084  8.989153E-19
6582.45700383182  1.146750E-18
6586.0146913528  9.882838E-19
6589.57237887378  8.784195E-19
6593.13006639476  7.991268E-19
6596.68775391574  1.019664E-18
6600.24544143672  9.198584E-19
6603.8031289577  9.725420E-19
6607.36081647868  9.018639E-19
6610.91850399967  9.534630E-19
6614.47619152065  9.686215E-19
6618.03387904163  7.993010E-19
6621.59156656261  1.019276E-18
6625.14925408359  1.093257E-18
6628.70694160457  9.118034E-19
6632.26462912555  9.828022E-19
6635.82231664653  1.045122E-18
6639.38000416751  8.528023E-19
6642.93769168849  8.713466E-19
6646.49537920947  1.005614E-18
6650.05306673046  1.028881E-18
6653.61075425144  9.782523E-19
6657.16844177242  1.163224E-18
6660.7261292934  9.344331E-19
6664.28381681438  1.002910E-18
6667.84150433536  9.929175E-19
6671.39919185634  8.699746E-19
6674.95687937732  9.998257E-19
6678.5145668983  9.358947E-19
6682.07225441928  9.057414E-19
6685.62994194026  8.924425E-19
6689.18762946124  9.040217E-19
6692.74531698222  9.508516E-19
6696.30300450321  9.921645E-19
6699.86069202419  9.964209E-19
6703.41837954517  9.742821E-19
6706.97606706615  1.027111E-18
6710.53375458713  8.931770E-19
6714.09144210811  8.488988E-19
6717.64912962909  9.250581E-19
6721.20681715007  8.371825E-19
6724.76450467105  8.051719E-19
6728.32219219203  9.303136E-19
6731.87987971301  1.046065E-18
6735.43756723399  9.145557E-19
6738.99525475498  7.863792E-19
6742.55294227596  1.018491E-18
6746.11062979694  8.381271E-19
6749.66831731792  9.035948E-19
6753.2260048389  9.087860E-19
6756.78369235988  9.908955E-19
6760.34137988086  8.686568E-19
6763.89906740184  1.118753E-18
6767.45675492282  1.152881E-18
6771.0144424438  1.091792E-18
6774.57212996478  1.138578E-18
6778.12981748576  1.118728E-18
6781.68750500674  1.057531E-18
6785.24519252773  1.007600E-18
6788.8028800487  1.049608E-18
6792.36056756969  6.888338E-19
6795.91825509067  1.022257E-18
6799.47594261165  9.201883E-19
6803.03363013263  7.915230E-19
6806.59131765361  1.048931E-18
6810.14900517459  9.304358E-19
6813.70669269557  9.718990E-19
6817.26438021655  9.579060E-19
6820.82206773753  1.028132E-18
6824.37975525851  1.069392E-18
6827.9374427795  8.752158E-19
6831.49513030048  1.057461E-18
6835.05281782146  1.154031E-18
6838.61050534244  7.736583E-19
6842.16819286342  9.809581E-19
6845.7258803844  9.538391E-19
6849.28356790538  1.013714E-18
6852.84125542636  8.871894E-19
6856.39894294734  8.389275E-19
6859.95663046832  1.069778E-18
6863.5143179893  1.011090E-18
6867.07200551028  1.044400E-18
6870.62969303127  1.218332E-18
6874.18738055225  1.488858E-18
6877.74506807323  1.385584E-18
6881.30275559421  1.180662E-18
6884.86044311519  1.125739E-18
6888.41813063617  1.084075E-18
6891.97581815715  1.003573E-18
6895.53350567813  1.036546E-18
6899.09119319911  1.023986E-18
6902.64888072009  7.650845E-19
6906.20656824107  8.933016E-19
6909.76425576205  9.240668E-19
