     0.802617 -2.26637e-17  9.52486e-17
     0.854641  9.41385e-15  1.00620e-16
     0.854871  9.41487e-15  1.00248e-16
     0.855101  9.39016e-15  9.87622e-17
     0.855331  9.21083e-15  9.78180e-17
     0.855562  9.09495e-15  9.69066e-17
     0.855793  9.38688e-15  9.69786e-17
     0.856025  9.35543e-15  9.63129e-17
     0.856256  8.84104e-15  9.35115e-17
     0.856488  8.84882e-15  9.32155e-17
     0.856721  9.18589e-15  9.50250e-17
     0.856954  8.98327e-15  9.42777e-17
     0.857187  9.31023e-15  9.47596e-17
     0.857420  9.24253e-15  9.52035e-17
     0.857654  9.49407e-15  9.67679e-17
     0.857888  9.40176e-15  9.64726e-17
     0.858122  9.31160e-15  9.58592e-17
     0.858357  9.48638e-15  9.66562e-17
     0.858592  9.50196e-15  9.64800e-17
     0.858828  9.50482e-15  9.72999e-17
     0.859063  9.70409e-15  9.83391e-17
     0.859299  9.84572e-15  9.83094e-17
     0.859536  9.45790e-15  9.65750e-17
     0.859773  9.10882e-15  1.01844e-16
     0.860010  9.18032e-15  9.48030e-17
     0.860247  9.09669e-15  9.38003e-17
     0.860485  9.12535e-15  9.32179e-17
     0.860723  9.05664e-15  9.32131e-17
     0.860962  9.19975e-15  9.50649e-17
     0.861201  9.03873e-15  9.45123e-17
     0.861440  9.03016e-15  9.27481e-17
     0.861679  8.85364e-15  9.24448e-17
     0.861919  8.96625e-15  9.31652e-17
     0.862159  8.77995e-15  9.26927e-17
     0.862400  8.68406e-15  9.21092e-17
     0.862641  8.78741e-15  9.22528e-17
     0.862882  8.51030e-15  9.09395e-17
     0.863123  8.60818e-15  9.14900e-17
     0.863365  8.67324e-15  9.16954e-17
     0.863607  8.77505e-15  9.17384e-17
     0.863850  8.68981e-15  9.13672e-17
     0.864093  8.76593e-15  9.20511e-17
     0.864336  8.64689e-15  9.07505e-17
     0.864580  8.82336e-15  9.19044e-17
     0.864824  8.60342e-15  9.16174e-17
     0.865068  8.90289e-15  9.38421e-17
     0.865313  8.85632e-15  9.35096e-17
     0.865557  8.81120e-15  9.36541e-17
     0.865803  8.95933e-15  9.48023e-17
     0.866048  8.98300e-15  9.45772e-17
     0.866294  9.12653e-15  9.50306e-17
     0.866541  9.09971e-15  9.41487e-17
     0.866787  9.04704e-15  9.36863e-17
     0.867034  9.14166e-15  9.30971e-17
     0.867281  9.33800e-15  9.35197e-17
     0.867529  9.47150e-15  1.33022e-16
     0.867777  9.68814e-15  1.34247e-16
     0.868025  9.85346e-15  1.34360e-16
     0.868274  9.88744e-15  9.50649e-17
     0.868523  9.94222e-15  1.05114e-16
     0.868772  9.89467e-15  9.43264e-17
     0.869022  9.98277e-15  9.45489e-17
     0.869272  1.00441e-14  9.50350e-17
     0.869522  1.01186e-14  9.45616e-17
     0.869773  1.08547e-14  1.03660e-16
     0.870024  1.06426e-14  1.08308e-16
     0.870275  1.04546e-14  9.63591e-17
     0.870527  1.04282e-14  9.56891e-17
     0.870779  1.06006e-14  9.62155e-17
     0.871031  1.06000e-14  9.62462e-17
     0.871284  1.06768e-14  9.65106e-17
     0.871537  1.06510e-14  9.63499e-17
     0.871790  1.06422e-14  9.60972e-17
     0.872044  1.01513e-14  9.38103e-17
     0.872298  1.05430e-14  9.53895e-17
     0.872552  1.03225e-14  9.43607e-17
     0.872807  1.02892e-14  9.40747e-17
     0.873062  1.02087e-14  9.40635e-17
     0.873317  9.92046e-15  9.25290e-17
     0.873573  9.90550e-15  9.29919e-17
     0.873829  9.80750e-15  9.23764e-17
     0.874085  1.00030e-14  9.38195e-17
     0.874342  9.72756e-15  9.33091e-17
     0.874599  9.69108e-15  9.27985e-17
     0.874856  9.64322e-15  9.26612e-17
     0.875114  9.52237e-15  9.24613e-17
     0.875372  9.43519e-15  9.23050e-17
     0.875630  9.56834e-15  9.25763e-17
     0.875889  9.43537e-15  9.18212e-17
     0.876148  9.40047e-15  9.24042e-17
     0.876407  9.36988e-15  9.21177e-17
     0.876667  9.39313e-15  9.24353e-17
     0.876927  9.35417e-15  9.23758e-17
     0.877187  9.51891e-15  9.28970e-17
     0.877447  9.47542e-15  9.32619e-17
     0.877708  9.64401e-15  9.40457e-17
     0.877970  9.35935e-15  9.15010e-17
     0.878231  9.58320e-15  9.15168e-17
     0.878493  9.45488e-15  9.04281e-17
     0.878755  9.38368e-15  9.01426e-17
     0.879018  9.41725e-15  8.95843e-17
     0.879280  9.56879e-15  8.98997e-17
     0.879544  9.32307e-15  8.85390e-17
     0.879807  9.46372e-15  8.90110e-17
     0.880071  9.54048e-15  8.90871e-17
     0.880335  9.55386e-15  8.93221e-17
     0.880599  9.37327e-15  8.85885e-17
     0.880864  9.13280e-15  8.77493e-17
     0.881129  9.32045e-15  8.81736e-17
     0.881395  9.22618e-15  8.93481e-17
     0.881660  9.14709e-15  8.89512e-17
     0.881926  9.19651e-15  9.56188e-17
     0.882193  9.08722e-15  9.03098e-17
     0.882459  8.91988e-15  9.02976e-17
     0.882726  9.02059e-15  9.08436e-17
     0.882994  8.74691e-15  8.89165e-17
     0.883261  8.62336e-15  8.76876e-17
     0.883529  8.51273e-15  8.65346e-17
     0.883798  8.47636e-15  8.51803e-17
     0.884066  8.28732e-15  8.30451e-17
     0.884335  8.18819e-15  8.21042e-17
     0.884604  8.20956e-15  8.15604e-17
     0.884874  8.06762e-15  8.13803e-17
     0.885144  8.23365e-15  8.24455e-17
     0.885414  8.31699e-15  8.27179e-17
     0.885684  8.15921e-15  8.17582e-17
     0.885955  8.00826e-15  8.17098e-17
     0.886226  8.09195e-15  8.23483e-17
     0.886498  8.23667e-15  8.24905e-17
     0.886769  8.04794e-15  8.11592e-17
     0.887042  8.07095e-15  8.13886e-17
     0.887314  8.05586e-15  8.13243e-17
     0.887587  8.11252e-15  8.17357e-17
     0.887860  7.96859e-15  8.09891e-17
     0.888133  8.04500e-15  8.16410e-17
     0.888407  8.16117e-15  8.28051e-17
     0.888680  8.07764e-15  8.16996e-17
     0.888955  8.12370e-15  8.15261e-17
     0.889229  8.09549e-15  8.14345e-17
     0.889504  7.98466e-15  8.06719e-17
     0.889779  8.12102e-15  8.08191e-17
     0.890055  8.19140e-15  8.10065e-17
     0.890331  8.05842e-15  8.08474e-17
     0.890607  8.14336e-15  8.12604e-17
     0.890883  8.14229e-15  8.16607e-17
     0.891160  8.37149e-15  8.28135e-17
     0.891437  8.49305e-15  8.40813e-17
     0.891715  8.26671e-15  8.34699e-17
     0.891992  8.32507e-15  8.34549e-17
     0.892270  8.19957e-15  8.26001e-17
     0.892549  7.89609e-15  8.07677e-17
     0.892827  7.93462e-15  8.03399e-17
     0.893106  7.67771e-15  7.89299e-17
     0.893385  7.86230e-15  7.99247e-17
     0.893665  7.70420e-15  7.89038e-17
     0.893945  7.64462e-15  7.83524e-17
     0.894225  7.66951e-15  7.87551e-17
     0.894505  7.43216e-15  7.81052e-17
     0.894786  7.59713e-15  7.94522e-17
     0.895067  7.48859e-15  8.00694e-17
     0.895349  7.68751e-15  8.15978e-17
     0.895631  7.61305e-15  8.17940e-17
     0.895913  7.59366e-15  8.19919e-17
     0.896195  7.65996e-15  8.18717e-17
     0.896478  7.47913e-15  8.07540e-17
     0.896761  7.87208e-15  8.23616e-17
     0.897044  7.86755e-15  8.18437e-17
     0.897328  7.74988e-15  8.10571e-17
     0.897612  7.75938e-15  8.08876e-17
     0.897896  7.84366e-15  8.19623e-17
     0.898180  7.70916e-15  8.16717e-17
     0.898465  7.63394e-15  8.21726e-17
     0.898750  7.49492e-15  8.21513e-17
     0.899036  7.47365e-15  8.18226e-17
     0.899322  7.54434e-15  8.17343e-17
     0.899608  7.29512e-15  8.03273e-17
     0.899894  7.42552e-15  8.12968e-17
     0.900181  7.38438e-15  8.07737e-17
     0.900468  7.18925e-15  7.97160e-17
     0.900755  7.52388e-15  8.06396e-17
     0.901043  7.65371e-15  8.11600e-17
     0.901331  7.60612e-15  8.08545e-17
     0.901619  7.41259e-15  7.88077e-17
     0.901908  7.59929e-15  8.08506e-17
     0.902197  7.76308e-15  7.90148e-17
     0.902486  7.70663e-15  7.76151e-17
     0.902776  7.54765e-15  7.61640e-17
     0.903066  7.68188e-15  7.57284e-17
     0.903356  7.63829e-15  7.46524e-17
     0.903647  7.46357e-15  7.37578e-17
     0.903937  8.07870e-15  7.55605e-17
     0.904229  8.06122e-15  7.54711e-17
     0.904520  8.13710e-15  7.59512e-17
     0.904812  8.23854e-15  7.66304e-17
     0.905104  8.17092e-15  7.65127e-17
     0.905396  8.32399e-15  7.73420e-17
     0.905689  8.47377e-15  7.89910e-17
     0.905982  8.49501e-15  7.96238e-17
     0.906275  8.59392e-15  8.01858e-17
     0.906569  8.55697e-15  8.01921e-17
     0.906863  8.51182e-15  8.01782e-17
     0.907158  8.32958e-15  7.93619e-17
     0.907452  8.50537e-15  8.01157e-17
     0.907747  8.38940e-15  8.08720e-17
     0.908042  8.45837e-15  8.13290e-17
     0.908338  8.41377e-15  8.02193e-17
     0.908634  8.26765e-15  7.93905e-17
     0.908930  8.15496e-15  7.89664e-17
     0.909227  8.13740e-15  7.87066e-17
     0.909524  8.04759e-15  7.87294e-17
     0.909821  8.16532e-15  7.90206e-17
     0.910119  7.92558e-15  7.89305e-17
     0.910417  7.99581e-15  7.75987e-17
     0.910715  7.89751e-15  7.74999e-17
     0.911013  7.81063e-15  7.56362e-17
     0.911312  7.64596e-15  7.45972e-17
     0.911611  7.62374e-15  7.43703e-17
     0.911911  7.68792e-15  7.46075e-17
     0.912211  7.67586e-15  7.43869e-17
     0.912511  7.72998e-15  7.50895e-17
     0.912811  7.62278e-15  7.55611e-17
     0.913112  7.71515e-15  7.50920e-17
     0.913413  7.59667e-15  7.44751e-17
     0.913715  7.37456e-15  7.31489e-17
     0.914017  7.39742e-15  7.32565e-17
     0.914319  7.31974e-15  7.30875e-17
     0.914621  7.54172e-15  7.41392e-17
     0.914924  7.45386e-15  7.38467e-17
     0.915227  7.55730e-15  7.41974e-17
     0.915531  7.42157e-15  7.39048e-17
     0.915834  7.65614e-15  7.61487e-17
     0.916139  7.43682e-15  7.41960e-17
     0.916443  7.36991e-15  7.30187e-17
     0.916748  7.17052e-15  7.19846e-17
     0.917053  7.22795e-15  7.22107e-17
     0.917359  7.19208e-15  7.17806e-17
     0.917664  7.08288e-15  7.01173e-17
     0.917971  7.16920e-15  6.99272e-17
     0.918277  7.30101e-15  7.00798e-17
     0.918584  7.02964e-15  6.87692e-17
     0.918891  7.15064e-15  6.88695e-17
     0.919199  7.08555e-15  6.83502e-17
     0.919506  7.07138e-15  6.80909e-17
     0.919815  7.08058e-15  6.79045e-17
     0.920123  7.02193e-15  6.75904e-17
     0.920432  6.96320e-15  6.72657e-17
     0.920741  6.95394e-15  6.68771e-17
     0.921051  6.94203e-15  6.66950e-17
     0.921361  6.80834e-15  6.61311e-17
     0.921671  6.83090e-15  6.71548e-17
     0.921982  6.89589e-15  6.76582e-17
     0.922293  6.76823e-15  7.08834e-17
     0.922604  6.79807e-15  6.70075e-17
     0.922916  6.89238e-15  6.86821e-17
     0.923228  6.78418e-15  6.82867e-17
     0.923540  6.84588e-15  6.77066e-17
     0.923853  6.89684e-15  6.78849e-17
     0.924166  6.86762e-15  6.67944e-17
     0.924479  6.99911e-15  6.73635e-17
     0.924793  6.95957e-15  6.75808e-17
     0.925107  7.00474e-15  6.79459e-17
     0.925422  7.11082e-15  6.79913e-17
     0.925737  7.12648e-15  6.68698e-17
     0.926052  7.42142e-15  6.83164e-17
     0.926368  7.47536e-15  6.86516e-17
     0.926684  7.58634e-15  6.93841e-17
     0.927000  7.71166e-15  7.05840e-17
     0.927317  7.96926e-15  7.38243e-17
     0.927634  8.01663e-15  7.45433e-17
     0.927951  8.14774e-15  7.51512e-17
     0.928269  8.13341e-15  7.60822e-17
     0.928587  8.04497e-15  7.70897e-17
     0.928905  8.10993e-15  7.79728e-17
     0.929224  8.25719e-15  8.04105e-17
     0.929543  8.14992e-15  8.16118e-17
     0.929863  8.06106e-15  8.38727e-17
     0.930183  7.98234e-15  8.67212e-17
     0.930503  8.03555e-15  9.03240e-17
     0.930824  7.87118e-15  9.34656e-17
     0.931145  7.98524e-15  9.73560e-17
     0.931466  7.96014e-15  9.92193e-17
     0.931788  7.85310e-15  1.00839e-16
     0.932110  7.71737e-15  1.02416e-16
     0.932433  7.66869e-15  1.04208e-16
     0.932756  7.75561e-15  1.05968e-16
     0.933079  7.62032e-15  1.05511e-16
     0.933403  7.34140e-15  1.03352e-16
     0.933727  7.44576e-15  1.03175e-16
     0.934052  7.46302e-15  1.02330e-16
     0.934376  7.24103e-15  9.88705e-17
     0.934702  7.13979e-15  9.63105e-17
     0.935027  7.19954e-15  9.55812e-17
     0.935353  6.98304e-15  9.37852e-17
     0.935680  6.96661e-15  9.36277e-17
     0.936006  6.93194e-15  9.42955e-17
     0.936334  7.11667e-15  9.71871e-17
     0.936661  7.21630e-15  9.86651e-17
     0.936989  7.14667e-15  9.84990e-17
     0.937317  6.76443e-15  9.57481e-17
     0.937646  6.75740e-15  9.29947e-17
     0.937975  6.75562e-15  8.92415e-17
     0.938305  6.57591e-15  8.34719e-17
     0.938635  6.71317e-15  7.94908e-17
     0.938965  6.70391e-15  7.68254e-17
     0.939296  6.72493e-15  7.40215e-17
     0.939627  6.87213e-15  7.28303e-17
     0.939958  6.89889e-15  7.32567e-17
     0.940290  7.03662e-15  7.42720e-17
     0.940622  6.75459e-15  7.33334e-17
     0.940955  6.83442e-15  7.38944e-17
     0.941288  6.85656e-15  7.54589e-17
     0.941622  6.89884e-15  7.62788e-17
     0.941956  6.84407e-15  7.75261e-17
     0.942290  6.96284e-15  8.03046e-17
     0.942625  6.88184e-15  8.12292e-17
     0.942960  6.78234e-15  8.14148e-17
     0.943295  6.86405e-15  8.30220e-17
     0.943631  6.70798e-15  8.30215e-17
     0.943968  6.63673e-15  8.32491e-17
     0.944304  6.68540e-15  8.24949e-17
     0.944642  6.64766e-15  8.15251e-17
     0.944979  6.74779e-15  8.12687e-17
     0.945317  6.84975e-15  8.12693e-17
     0.945656  6.84632e-15  8.03720e-17
     0.945994  6.75809e-15  7.95432e-17
     0.946334  6.85279e-15  7.96191e-17
     0.946674  6.87995e-15  7.88127e-17
     0.947014  6.88855e-15  7.82151e-17
     0.947354  6.86350e-15  7.80955e-17
     0.947695  6.92599e-15  7.78922e-17
     0.948037  6.91623e-15  7.76551e-17
     0.948378  6.95150e-15  7.71425e-17
     0.948721  6.86979e-15  7.65668e-17
     0.949063  6.85511e-15  7.61521e-17
     0.949406  6.89625e-15  7.57920e-17
     0.949750  6.64780e-15  7.28466e-17
     0.950094  6.82829e-15  7.27775e-17
     0.950438  6.73643e-15  7.22353e-17
     0.950783  6.66030e-15  7.18410e-17
     0.951128  6.49977e-15  7.07829e-17
     0.951474  6.62397e-15  7.20862e-17
     0.951820  6.62822e-15  7.18298e-17
     0.952167  6.65496e-15  7.12324e-17
     0.952514  6.50422e-15  7.00732e-17
     0.952861  6.53557e-15  6.94792e-17
