	Wave (A)	FluxDens(1d-15)   Err
       3944.0800       22.675601      0.14963218
       3944.5700       22.515616      0.14905478
       3945.0600       22.546192      0.14915362
       3945.5500       22.781850      0.14981366
       3946.0400       22.822701      0.14983002
       3946.5300       22.756846      0.14955477
       3947.0200       22.783436      0.14956465
       3947.5100       22.736186      0.14937263
       3948.0000       22.753355      0.14937946
       3948.4900       22.756124      0.14928579
       3948.9800       22.650114      0.14880932
       3949.4700       22.458311      0.14811899
       3949.9600       22.321881      0.14760500
       3950.4500       22.402797      0.14783007
       3950.9400       22.484357      0.14804714
       3951.4300       22.465314      0.14790913
       3951.9200       22.511657      0.14801702
       3952.4100       22.511058      0.14790476
       3952.9000       22.428132      0.14754268
       3953.3900       22.306618      0.14711010
       3953.8800       22.442308      0.14748306
       3954.3700       22.617392      0.14794790
       3954.8600       22.367072      0.14709175
       3955.3500       21.747695      0.14500596
       3955.8400       21.095688      0.14277273
       3956.3300       21.043084      0.14253423
       3956.8200       21.554740      0.14413716
       3957.3100       22.233201      0.14625878
       3957.8000       22.606541      0.14742218
       3958.2900       22.524567      0.14712291
       3958.7800       22.440324      0.14677582
       3959.2700       22.411670      0.14665486
       3959.7600       22.516861      0.14698259
       3960.2500       22.445923      0.14665167
       3960.7400       22.286487      0.14606315
       3961.2300       22.359695      0.14626204
       3961.7200       22.411076      0.14632593
       3962.2100       22.432319      0.14627865
       3962.7000       22.474758      0.14634906
       3963.1900       22.494031      0.14638349
       3963.6800       22.423846      0.14608878
       3964.1700       22.312118      0.14560991
       3964.6600       22.168156      0.14505939
       3965.1500       22.136625      0.14489781
       3965.6400       22.222879      0.14511131
       3966.1300       22.224040      0.14506750
       3966.6200       22.180032      0.14483482
       3967.1100       22.007954      0.14413973
       3967.6000       21.698596      0.14305776
       3968.0900       21.552791      0.14255093
       3968.5800       21.747247      0.14313553
       3969.0700       22.137197      0.14434393
       3969.5600       22.302347      0.14483995
       3970.0500       22.078683      0.14407968
       3970.5400       22.003981      0.14378358
       3971.0300       22.180328      0.14432636
       3971.5200       22.143781      0.14416217
       3972.0100       21.998213      0.14359435
       3972.5000       21.922230      0.14328478
       3972.9900       21.902093      0.14320095
       3973.4800       21.827777      0.14293796
       3973.9700       21.784986      0.14273395
       3974.4600       21.909958      0.14304119
       3974.9500       22.114137      0.14360313
       3975.4400       22.150336      0.14366023
       3975.9300       22.111208      0.14347658
       3976.4200       22.191818      0.14365975
       3976.9100       22.045334      0.14311932
       3977.4000       21.894236      0.14257333
       3977.8900       21.965061      0.14275300
       3978.3800       21.932066      0.14255402
       3978.8700       21.905356      0.14235637
       3979.3600       22.066322      0.14279993
       3979.8500       22.083386      0.14286908
       3980.3400       21.919412      0.14228210
       3980.8300       21.991201      0.14237823
