      9109.81 -3.54572e-15  6.57709e-15
      10264.7  1.15852e-15  7.09736e-17
      10266.0  1.17936e-15  7.02384e-17
      10267.2  1.18415e-15  7.18878e-17
      10268.4  1.16971e-15  7.59425e-17
      10269.6  1.18776e-15  8.01729e-17
      10270.8  1.09079e-15  7.66036e-17
      10272.1  1.08686e-15  7.33046e-17
      10273.3  1.06058e-15  7.34916e-17
      10274.5  1.10198e-15  7.37768e-17
      10275.7  1.08009e-15  7.45133e-17
      10277.0  1.15871e-15  7.98971e-17
      10278.2  1.10031e-15  7.62221e-17
      10279.4  1.11501e-15  7.16623e-17
      10280.6  1.14009e-15  6.92921e-17
      10281.9  1.09639e-15  6.98674e-17
      10283.1  1.12232e-15  7.24793e-17
      10284.3  1.13749e-15  7.96219e-17
      10285.5  1.18907e-15  8.04810e-17
      10286.8  1.15316e-15  8.38277e-17
      10288.0  1.09352e-15  1.03895e-16
      10289.2  1.07844e-15  1.19886e-16
      10290.4  1.11487e-15  1.01833e-16
      10291.7  1.10297e-15  8.49980e-17
      10292.9  1.12057e-15  8.29108e-17
      10294.1  1.07430e-15  8.05520e-17
      10295.3  1.06473e-15  7.34212e-17
      10296.6  1.07662e-15  7.55224e-17
      10297.8  1.08449e-15  8.58223e-17
      10299.0  1.07896e-15  9.00496e-17
      10300.2  1.13555e-15  8.79432e-17
      10301.4  1.16175e-15  7.81406e-17
      10302.7  1.17267e-15  7.14771e-17
      10303.9  1.10104e-15  6.83494e-17
